txn_id,from_account,to_account,amount,timestamp,txn_type,channel,location,kyc_risk,company
T113,A0924,A1443,262932.27,2025-03-23T19:47:00,TRANSFER,NEFT,Bangalore,0.66,XYZ Pvt Ltd
T114,A1172,A0864,31800.05,2025-01-05T18:05:00,TRANSFER,RTGS,Hyderabad,0.82,XYZ Pvt Ltd
T115,A0266,A1149,114076.38,2025-02-06T10:39:00,PAYMENT,CASH,Chennai,0.93,ABC Corp
T116,A0693,A0983,290987.75,2025-01-06T14:50:00,DEPOSIT,UPI,Mumbai,0.08,ABC Corp
T117,A1183,A0350,33928.11,2025-02-24T15:54:00,PAYMENT,RTGS,Bangalore,0.37,XYZ Pvt Ltd
T118,A0872,A1043,278026.97,2025-02-07T08:03:00,DEPOSIT,IMPS,Hyderabad,0.77,-
T119,A0004,A1224,282815.96,2025-01-15T09:39:00,TRANSFER,RTGS,Bangalore,0.79,ABC Corp
T120,A0985,A0495,223764.05,2025-04-25T03:20:00,DEPOSIT,IMPS,Delhi,0.15,LMN Ltd
T121,A0175,A1116,144784.17,2025-02-24T10:50:00,DEPOSIT,IMPS,Mumbai,0.91,LMN Ltd
T122,A1314,A1292,251046.74,2025-02-27T12:31:00,TRANSFER,NEFT,Hyderabad,0.03,XYZ Pvt Ltd
T123,A0325,A0533,89687.31,2025-03-19T00:35:00,DEPOSIT,IMPS,Mumbai,0.79,XYZ Pvt Ltd
T124,A1416,A1386,60184.01,2025-01-16T22:13:00,TRANSFER,RTGS,Bangalore,0.21,XYZ Pvt Ltd
T125,A0649,A1472,152960.06,2025-04-20T07:54:00,TRANSFER,CASH,Hyderabad,0.34,-
T126,A0939,A0061,256291.83,2025-04-03T21:52:00,PAYMENT,CASH,Bangalore,0.99,LMN Ltd
T127,A0060,A0034,271011.47,2025-02-11T14:10:00,DEPOSIT,RTGS,Hyderabad,0.42,XYZ Pvt Ltd
T128,A0487,A0297,28821.34,2025-05-11T04:00:00,TRANSFER,NEFT,Chennai,0.64,XYZ Pvt Ltd
T129,A1213,A1029,72786.88,2025-04-23T03:20:00,DEPOSIT,CASH,Chennai,0.83,ABC Corp
T130,A0157,A1269,138766.17,2025-03-17T21:18:00,TRANSFER,NEFT,Mumbai,0.85,XYZ Pvt Ltd
T131,A1196,A0895,125610.95,2025-02-23T15:05:00,PAYMENT,RTGS,Bangalore,0.88,LMN Ltd
T132,A0500,A0428,273135.05,2025-01-28T03:38:00,TRANSFER,IMPS,Mumbai,0.86,-
T133,A0798,A0640,85196.2,2025-04-11T10:10:00,TRANSFER,NEFT,Delhi,0.54,LMN Ltd
T134,A0838,A1319,90162.34,2025-02-14T15:09:00,TRANSFER,NEFT,Chennai,0.51,ABC Corp
T135,A1273,A0928,108649.65,2025-01-10T02:56:00,TRANSFER,UPI,Bangalore,0.37,XYZ Pvt Ltd
T136,A0114,A1079,128428.16,2025-05-18T22:37:00,DEPOSIT,UPI,Chennai,0.3,XYZ Pvt Ltd
T137,A0864,A0377,131413.05,2025-04-21T11:21:00,DEPOSIT,CASH,Delhi,0.67,ABC Corp
T138,A0059,A1231,14880.38,2025-04-24T22:34:00,TRANSFER,RTGS,Bangalore,0.43,LMN Ltd
T139,A0500,A0487,194263.75,2025-03-11T08:45:00,PAYMENT,IMPS,Mumbai,0.25,ABC Corp
T140,A0195,A0258,283569.03,2025-03-11T08:30:00,TRANSFER,UPI,Chennai,0.35,XYZ Pvt Ltd
T141,A1197,A1252,44789.91,2025-03-17T16:42:00,WITHDRAWAL,RTGS,Mumbai,0.1,LMN Ltd
T142,A0966,A0616,248738.77,2025-02-08T07:04:00,WITHDRAWAL,NEFT,Chennai,0.78,ABC Corp
T143,A0128,A0624,13156.09,2025-02-06T08:18:00,TRANSFER,IMPS,Bangalore,0.05,LMN Ltd
T144,A0252,A0683,274252.56,2025-03-17T01:38:00,TRANSFER,CASH,Delhi,0.63,-
T145,A0776,A1159,44481.58,2025-02-28T11:52:00,PAYMENT,UPI,Hyderabad,0.74,LMN Ltd
T146,A1043,A0595,273513.67,2025-03-29T14:48:00,DEPOSIT,RTGS,Mumbai,0.56,ABC Corp
T147,A0186,A1043,76730.02,2025-04-12T08:04:00,WITHDRAWAL,CASH,Mumbai,0.45,-
T148,A0290,A0131,100717.51,2025-05-10T03:28:00,WITHDRAWAL,RTGS,Delhi,0.87,LMN Ltd
T149,A0698,A0180,182170.19,2025-02-28T03:44:00,PAYMENT,NEFT,Hyderabad,0.42,LMN Ltd
T150,A0279,A1410,269387.29,2025-04-25T04:23:00,WITHDRAWAL,IMPS,Chennai,0.62,-
T151,A1065,A1430,87741.28,2025-05-15T20:14:00,TRANSFER,NEFT,Chennai,0.91,LMN Ltd
T152,A0706,A0877,215839.39,2025-05-06T02:38:00,DEPOSIT,RTGS,Delhi,0.96,ABC Corp
T153,A0943,A0053,111785.86,2025-03-22T22:12:00,WITHDRAWAL,IMPS,Chennai,0.18,XYZ Pvt Ltd
T154,A1137,A0773,114955.11,2025-02-19T16:31:00,DEPOSIT,CASH,Mumbai,0.07,XYZ Pvt Ltd
T155,A0237,A0740,46879.86,2025-05-19T04:10:00,TRANSFER,RTGS,Hyderabad,0.86,XYZ Pvt Ltd
T156,A0941,A0627,105106.68,2025-04-01T19:42:00,PAYMENT,IMPS,Bangalore,0.61,XYZ Pvt Ltd
T157,A1274,A1216,49549.88,2025-03-12T06:05:00,TRANSFER,UPI,Chennai,0.36,-
T158,A0548,A0283,284320.85,2025-03-03T13:46:00,TRANSFER,UPI,Chennai,0.33,ABC Corp
T159,A0667,A0188,253808.36,2025-01-22T06:38:00,DEPOSIT,NEFT,Chennai,0.61,-
T160,A0162,A0966,283717.13,2025-01-04T14:42:00,DEPOSIT,CASH,Chennai,0.18,ABC Corp
T161,A0040,A0766,204966.52,2025-04-21T12:59:00,TRANSFER,RTGS,Delhi,0.23,ABC Corp
T162,A0133,A1344,24968.3,2025-04-23T07:37:00,TRANSFER,NEFT,Mumbai,0.69,LMN Ltd
T163,A0169,A0809,48744.69,2025-04-24T07:10:00,WITHDRAWAL,IMPS,Hyderabad,0.03,-
T164,A0286,A0587,42055.03,2025-04-05T03:54:00,TRANSFER,IMPS,Chennai,0.76,XYZ Pvt Ltd
T165,A0460,A1077,118860.92,2025-03-18T23:40:00,PAYMENT,NEFT,Delhi,0.13,-
T166,A0259,A0021,216401.12,2025-04-16T12:36:00,WITHDRAWAL,RTGS,Hyderabad,0.65,ABC Corp
T167,A1288,A1120,121408.26,2025-03-20T13:34:00,WITHDRAWAL,NEFT,Chennai,0.51,LMN Ltd
T168,A0588,A0688,40264.66,2025-03-08T15:45:00,PAYMENT,CASH,Bangalore,0.08,XYZ Pvt Ltd
T169,A0175,A0284,152178.0,2025-01-03T18:17:00,DEPOSIT,UPI,Hyderabad,0.01,LMN Ltd
T170,A0878,A0474,280259.26,2025-02-12T23:03:00,WITHDRAWAL,CASH,Delhi,0.71,-
T171,A1161,A1314,85516.75,2025-05-13T02:36:00,PAYMENT,UPI,Bangalore,0.19,ABC Corp
T172,A0946,A0204,88161.42,2025-04-23T05:28:00,PAYMENT,NEFT,Chennai,0.92,LMN Ltd
T173,A0830,A0307,166522.4,2025-03-17T12:05:00,PAYMENT,CASH,Chennai,0.06,LMN Ltd
T174,A0596,A0561,174232.11,2025-02-23T17:52:00,DEPOSIT,UPI,Hyderabad,0.74,-
T175,A0954,A1159,49816.26,2025-03-22T14:15:00,PAYMENT,UPI,Mumbai,0.18,LMN Ltd
T176,A0574,A1059,118437.25,2025-03-14T14:26:00,PAYMENT,UPI,Hyderabad,0.27,LMN Ltd
T177,A0716,A1353,130412.92,2025-05-10T01:27:00,WITHDRAWAL,NEFT,Delhi,0.09,LMN Ltd
T178,A1457,A1386,59502.07,2025-03-12T09:01:00,WITHDRAWAL,IMPS,Mumbai,0.83,LMN Ltd
T179,A1237,A0117,101506.0,2025-02-22T13:16:00,TRANSFER,CASH,Delhi,0.7,ABC Corp
T180,A0757,A0642,12633.56,2025-03-28T00:44:00,DEPOSIT,NEFT,Mumbai,0.35,ABC Corp
T181,A0238,A1383,67889.73,2025-02-05T05:43:00,TRANSFER,RTGS,Chennai,0.89,-
T182,A0601,A0223,158761.25,2025-04-17T05:28:00,PAYMENT,UPI,Hyderabad,0.16,LMN Ltd
T183,A0296,A0964,3418.2,2025-05-08T00:39:00,PAYMENT,NEFT,Chennai,0.56,LMN Ltd
T184,A1140,A1242,197344.5,2025-04-06T06:18:00,WITHDRAWAL,IMPS,Hyderabad,0.15,XYZ Pvt Ltd
T185,A1316,A0269,232053.09,2025-05-09T15:56:00,WITHDRAWAL,UPI,Delhi,0.36,ABC Corp
T186,A1316,A0167,26191.17,2025-05-14T06:01:00,DEPOSIT,RTGS,Bangalore,0.51,XYZ Pvt Ltd
T187,A0836,A0291,151455.82,2025-03-17T13:16:00,DEPOSIT,NEFT,Hyderabad,0.26,LMN Ltd
T188,A0536,A0165,171996.44,2025-01-07T15:47:00,PAYMENT,NEFT,Bangalore,0.82,-
T189,A1313,A0295,288862.25,2025-04-12T23:14:00,PAYMENT,NEFT,Hyderabad,0.83,ABC Corp
T190,A0652,A1135,234587.71,2025-04-28T21:38:00,PAYMENT,NEFT,Chennai,0.66,XYZ Pvt Ltd
T191,A0676,A0803,35963.59,2025-01-18T11:07:00,WITHDRAWAL,CASH,Bangalore,0.95,XYZ Pvt Ltd
T192,A0902,A0421,253953.42,2025-01-30T11:19:00,DEPOSIT,RTGS,Chennai,0.24,-
T193,A1076,A1017,266512.41,2025-03-30T05:59:00,DEPOSIT,CASH,Bangalore,0.03,XYZ Pvt Ltd
T194,A1015,A1036,112777.87,2025-05-03T16:14:00,PAYMENT,CASH,Mumbai,0.57,XYZ Pvt Ltd
T195,A0362,A1325,292691.88,2025-03-16T12:51:00,TRANSFER,RTGS,Hyderabad,0.7,ABC Corp
T196,A1293,A0803,35216.84,2025-03-18T16:37:00,WITHDRAWAL,RTGS,Delhi,0.89,LMN Ltd
T197,A1101,A0940,38577.36,2025-04-12T12:35:00,PAYMENT,UPI,Chennai,0.16,LMN Ltd
T198,A0496,A1141,106419.22,2025-04-06T00:13:00,TRANSFER,CASH,Hyderabad,0.41,-
T199,A0864,A0772,34309.58,2025-01-12T06:44:00,TRANSFER,RTGS,Bangalore,0.09,ABC Corp
T200,A1207,A0991,280278.18,2025-04-24T05:15:00,PAYMENT,RTGS,Chennai,0.14,ABC Corp
T201,A0781,A0693,251377.3,2025-05-17T13:03:00,WITHDRAWAL,NEFT,Chennai,0.9,XYZ Pvt Ltd
T202,A0896,A0053,220502.98,2025-04-25T20:39:00,WITHDRAWAL,CASH,Hyderabad,0.58,XYZ Pvt Ltd
T203,A0284,A0524,83042.01,2025-02-26T11:45:00,WITHDRAWAL,NEFT,Chennai,0.65,-
T204,A1171,A0010,63800.13,2025-03-02T10:21:00,PAYMENT,UPI,Chennai,0.05,LMN Ltd
T205,A0766,A1481,74889.3,2025-02-21T05:57:00,PAYMENT,CASH,Mumbai,0.48,XYZ Pvt Ltd
T206,A0173,A0515,288338.57,2025-02-22T00:58:00,WITHDRAWAL,UPI,Hyderabad,0.14,XYZ Pvt Ltd
T207,A0447,A1131,83017.96,2025-03-16T06:40:00,DEPOSIT,UPI,Delhi,0.17,ABC Corp
T208,A0463,A1485,134128.55,2025-03-02T10:37:00,DEPOSIT,RTGS,Hyderabad,0.72,-
T209,A0577,A1095,154458.78,2025-01-18T16:24:00,TRANSFER,NEFT,Hyderabad,0.17,XYZ Pvt Ltd
T210,A0744,A0204,149546.95,2025-04-11T19:57:00,PAYMENT,RTGS,Delhi,0.32,XYZ Pvt Ltd
T211,A0158,A0841,286141.55,2025-04-28T23:12:00,PAYMENT,IMPS,Hyderabad,0.03,-
T212,A0084,A1390,181123.8,2025-03-08T22:25:00,WITHDRAWAL,UPI,Mumbai,0.21,ABC Corp
T213,A0523,A0998,165397.63,2025-03-01T06:13:00,TRANSFER,UPI,Hyderabad,0.55,ABC Corp
T214,A1254,A0327,231058.46,2025-03-07T10:48:00,TRANSFER,IMPS,Bangalore,0.6,ABC Corp
T215,A0267,A0977,126804.76,2025-04-25T03:01:00,TRANSFER,IMPS,Bangalore,0.61,LMN Ltd
T216,A1108,A1306,293090.7,2025-01-16T12:12:00,DEPOSIT,RTGS,Delhi,0.58,ABC Corp
T217,A0900,A0318,288311.2,2025-01-22T11:14:00,WITHDRAWAL,IMPS,Mumbai,0.87,LMN Ltd
T218,A0669,A0732,50406.12,2025-01-12T18:59:00,WITHDRAWAL,IMPS,Mumbai,0.13,-
T219,A0749,A1083,61743.49,2025-01-24T17:36:00,PAYMENT,RTGS,Bangalore,0.04,-
T220,A0465,A0286,247282.18,2025-01-02T13:02:00,PAYMENT,IMPS,Delhi,0.09,ABC Corp
T221,A1134,A0112,76488.89,2025-01-21T02:41:00,TRANSFER,UPI,Hyderabad,0.51,XYZ Pvt Ltd
T222,A0373,A0441,114530.93,2025-02-13T13:52:00,DEPOSIT,NEFT,Hyderabad,0.47,LMN Ltd
T223,A1351,A0172,226662.88,2025-04-24T20:59:00,TRANSFER,IMPS,Hyderabad,0.07,ABC Corp
T224,A0210,A1033,254768.43,2025-01-08T00:01:00,TRANSFER,NEFT,Bangalore,0.46,ABC Corp
T225,A0077,A1169,111506.36,2025-03-01T21:00:00,DEPOSIT,NEFT,Delhi,0.12,XYZ Pvt Ltd
T226,A0325,A1191,202938.21,2025-02-19T19:33:00,DEPOSIT,IMPS,Mumbai,0.9,XYZ Pvt Ltd
T227,A0482,A0904,9775.62,2025-02-07T01:10:00,DEPOSIT,NEFT,Delhi,0.81,ABC Corp
T228,A0969,A1002,21178.13,2025-04-29T01:57:00,TRANSFER,CASH,Bangalore,0.44,ABC Corp
T229,A1234,A0679,99766.77,2025-03-02T14:36:00,WITHDRAWAL,RTGS,Hyderabad,0.19,XYZ Pvt Ltd
T230,A0216,A1449,5420.62,2025-04-17T10:35:00,TRANSFER,NEFT,Hyderabad,0.63,ABC Corp
T231,A0283,A1496,263965.13,2025-04-05T04:35:00,WITHDRAWAL,IMPS,Mumbai,0.24,ABC Corp
T232,A0199,A1108,86408.99,2025-03-03T17:31:00,WITHDRAWAL,RTGS,Hyderabad,0.91,LMN Ltd
T233,A1353,A0469,206107.81,2025-01-31T15:04:00,PAYMENT,RTGS,Delhi,0.8,-
T234,A0646,A0172,174905.29,2025-04-29T10:42:00,DEPOSIT,CASH,Bangalore,0.44,LMN Ltd
T235,A0063,A1056,162319.25,2025-04-26T13:48:00,TRANSFER,IMPS,Hyderabad,0.81,XYZ Pvt Ltd
