txn_id,from_account,to_account,amount,timestamp,txn_type,channel,location,kyc_risk,company,transaction_count,total_amount,avg_amount,std_amount,txn_type_encoded,channel_encoded,location_encoded,company_encoded,fraud_probability,predicted_fraud
T16,A0868,A1129,221437.04,2025-05-14T14:50:00,PAYMENT,RTGS,Mumbai,0.23,XYZ Pvt Ltd,10,2025811.28,202581.128,86383.65484897215,1,3,4,3,1.0,1
T17,A1074,A1467,22263.56,2025-03-06T05:25:00,PAYMENT,UPI,Hyderabad,0.22,ABC Corp,6,751024.28,125170.71333333333,60756.314722453884,1,4,3,1,1.0,1
T18,A1456,A0411,252842.88,2025-01-14T13:18:00,TRANSFER,RTGS,Mumbai,0.98,-,11,1712200.31,155654.57363636364,94059.70777667781,2,3,4,0,1.0,1
T19,A0959,A1144,215793.79,2025-04-14T04:34:00,TRANSFER,RTGS,Hyderabad,0.1,-,3,699232.5,233077.5,17448.26438739109,2,3,3,0,0.99,1
T20,A0259,A1112,154473.67,2025-01-03T08:50:00,DEPOSIT,UPI,Bangalore,0.41,-,11,1311463.58,119223.96181818182,83660.13846288671,0,4,0,0,1.0,1
T21,A1077,A0180,250801.36,2025-04-04T20:41:00,TRANSFER,UPI,Delhi,0.75,XYZ Pvt Ltd,6,1150837.23,191806.205,80088.90523461705,2,4,2,3,1.0,1
T22,A0400,A0852,22442.43,2025-03-20T02:38:00,PAYMENT,NEFT,Delhi,0.05,ABC Corp,12,2227482.07,185623.50583333333,80983.69599229505,1,2,2,1,1.0,1
T23,A1269,A0539,295244.47,2025-05-18T08:33:00,DEPOSIT,RTGS,Mumbai,0.38,-,6,967258.1499999999,161209.69166666665,110469.57675466842,0,3,4,0,1.0,1
T24,A0231,A0215,91072.42,2025-04-14T12:55:00,PAYMENT,RTGS,Bangalore,0.61,XYZ Pvt Ltd,10,1087325.19,108732.519,97093.30547229499,1,3,0,3,1.0,1
T25,A1100,A0905,85352.64,2025-03-24T03:57:00,WITHDRAWAL,RTGS,Delhi,0.74,-,4,779959.6,194989.9,79822.92898898161,3,3,2,0,1.0,1
T26,A0537,A0556,268476.2,2025-01-21T00:28:00,PAYMENT,RTGS,Mumbai,0.86,-,7,905712.18,129387.4542857143,93729.41511353961,1,3,4,0,1.0,1
T27,A0500,A1241,106421.45,2025-01-22T13:33:00,TRANSFER,IMPS,Mumbai,0.17,-,11,1319937.64,119994.3309090909,92102.75963963961,2,1,4,0,1.0,1
T28,A0986,A1451,288259.82,2025-05-16T09:34:00,DEPOSIT,RTGS,Hyderabad,0.13,-,13,2132535.4,164041.1846153846,66159.39974765197,0,3,3,0,1.0,1
T29,A0805,A1035,171413.22,2025-04-13T10:28:00,DEPOSIT,NEFT,Delhi,0.05,-,12,1000029.52,83335.79333333333,46954.540048823306,0,2,2,0,1.0,1
T30,A0304,A1236,194691.23,2025-04-30T09:31:00,PAYMENT,RTGS,Chennai,0.7,-,5,917709.4,183541.88,86562.82244026818,1,3,1,0,1.0,1
T31,A0781,A0553,111022.69,2025-04-17T00:05:00,DEPOSIT,UPI,Hyderabad,0.9,XYZ Pvt Ltd,10,1784409.86,178440.986,83594.02518523029,0,4,3,3,1.0,1
T32,A0855,A0174,195672.06,2025-04-02T10:15:00,DEPOSIT,RTGS,Mumbai,0.27,-,7,1206441.79,172348.82714285716,64428.0832834688,0,3,4,0,1.0,1
T33,A1178,A0050,140124.81,2025-05-14T02:01:00,WITHDRAWAL,CASH,Chennai,0.51,-,13,2156627.68,165894.43692307692,95012.41414857056,3,0,1,0,1.0,1
T34,A0926,A1034,60019.9,2025-05-01T18:44:00,PAYMENT,UPI,Bangalore,0.24,ABC Corp,8,1121364.39,140170.54875,105407.1308046791,1,4,0,1,1.0,1
T35,A0195,A1488,154825.16,2025-02-03T05:16:00,WITHDRAWAL,NEFT,Delhi,0.36,XYZ Pvt Ltd,11,1926081.94,175098.35818181818,104670.07928483534,3,2,2,3,1.0,1
T36,A0238,A1032,84595.76,2025-04-11T00:30:00,PAYMENT,IMPS,Hyderabad,0.49,LMN Ltd,10,1459716.08,145971.608,99560.02842366965,1,1,3,2,1.0,1
T37,A1150,A1203,160339.2,2025-03-18T02:12:00,PAYMENT,UPI,Bangalore,0.87,ABC Corp,9,1595569.9,177285.54444444444,58655.96326580765,1,4,0,1,1.0,1
T38,A0166,A0504,28139.02,2025-01-31T14:10:00,TRANSFER,NEFT,Mumbai,0.91,ABC Corp,9,1448463.75,160940.41666666666,119496.98543576623,2,2,4,1,1.0,1
T39,A0711,A0317,51179.05,2025-02-13T14:56:00,PAYMENT,RTGS,Delhi,0.52,LMN Ltd,11,1764770.2,160433.65454545454,89117.2336374456,1,3,2,2,1.0,1
T40,A1354,A0912,233965.55,2025-05-01T22:23:00,DEPOSIT,UPI,Bangalore,0.89,LMN Ltd,9,1354168.99,150463.2211111111,105186.13201581275,0,4,0,2,1.0,1
T41,A1302,A1039,292917.78,2025-03-15T11:46:00,DEPOSIT,IMPS,Mumbai,0.7,-,9,1153406.49,128156.27666666667,108879.95595256779,0,1,4,0,1.0,1
T42,A0356,A1176,239394.58,2025-02-24T17:54:00,TRANSFER,IMPS,Chennai,0.01,LMN Ltd,6,779060.87,129843.47833333333,56084.77496578208,2,1,1,2,1.0,1
T43,A0408,A0275,4692.35,2025-02-13T17:53:00,PAYMENT,IMPS,Chennai,0.94,ABC Corp,3,219150.72,73050.24,65232.67956379916,1,1,1,1,0.99,1
T44,A0410,A1154,136784.34,2025-05-07T16:02:00,DEPOSIT,NEFT,Bangalore,0.38,ABC Corp,7,1013696.68,144813.81142857144,102225.63539103363,0,2,0,1,1.0,1
T45,A0880,A0871,46414.11,2025-03-11T08:45:00,PAYMENT,IMPS,Bangalore,0.26,-,9,906228.62,100692.06888888888,46663.697148782434,1,1,0,0,1.0,1
T46,A0560,A0025,221060.97,2025-01-14T23:35:00,DEPOSIT,CASH,Delhi,0.58,XYZ Pvt Ltd,10,1665422.46,166542.24599999998,103355.71414718774,0,0,2,3,1.0,1
T47,A0993,A1249,23040.57,2025-04-22T20:34:00,PAYMENT,CASH,Hyderabad,0.1,LMN Ltd,9,1552113.91,172457.10111111111,111635.86946445488,1,0,3,2,1.0,1
T48,A1476,A0025,175423.0,2025-01-27T07:16:00,TRANSFER,IMPS,Bangalore,0.18,LMN Ltd,8,1045713.6,130714.2,104126.15903885275,2,1,0,2,1.0,1
T49,A0538,A1430,243850.22,2025-01-22T05:32:00,WITHDRAWAL,NEFT,Bangalore,0.37,XYZ Pvt Ltd,9,1324678.11,147186.45666666667,93035.65931790201,3,2,0,3,1.0,1
T50,A1357,A0299,94060.61,2025-02-21T06:23:00,DEPOSIT,IMPS,Hyderabad,0.31,-,9,1241204.0,137911.55555555556,74499.34286011307,0,1,3,0,1.0,1
T51,A1051,A0892,223055.08,2025-02-09T05:52:00,PAYMENT,NEFT,Chennai,0.48,XYZ Pvt Ltd,6,785692.78,130948.79666666668,94068.9769623894,1,2,1,3,1.0,1
T52,A0128,A0092,225381.37,2025-01-30T09:31:00,PAYMENT,CASH,Delhi,0.53,-,8,654770.32,81846.29,89184.54439839994,1,0,2,0,1.0,1
T53,A0331,A0950,160550.53,2025-04-07T06:48:00,WITHDRAWAL,NEFT,Hyderabad,0.41,LMN Ltd,10,1508611.67,150861.167,79683.36683393455,3,2,3,2,1.0,1
T54,A0351,A1473,253706.91,2025-03-30T23:22:00,DEPOSIT,CASH,Mumbai,0.44,ABC Corp,10,1623932.23,162393.223,97192.18907630538,0,0,4,1,1.0,1
T55,A0549,A0763,225414.36,2025-04-18T09:36:00,PAYMENT,RTGS,Bangalore,0.69,LMN Ltd,6,855889.78,142648.29666666666,110057.09963095062,1,3,0,2,1.0,1
T56,A0612,A0303,98789.22,2025-04-20T16:26:00,DEPOSIT,IMPS,Chennai,0.1,XYZ Pvt Ltd,6,855694.6699999999,142615.77833333332,73400.86394514043,0,1,1,3,1.0,1
T57,A0675,A0462,15614.52,2025-05-07T19:11:00,TRANSFER,CASH,Mumbai,0.44,LMN Ltd,7,1038958.71,148422.67285714284,85878.2744135748,2,0,4,2,1.0,1
T58,A0403,A1209,175369.23,2025-04-19T14:48:00,TRANSFER,IMPS,Bangalore,0.69,ABC Corp,8,1425320.48,178165.06,84422.41806807293,2,1,0,1,1.0,1
T59,A0414,A1214,148264.91,2025-05-09T19:55:00,WITHDRAWAL,UPI,Hyderabad,0.21,XYZ Pvt Ltd,8,1393737.4,174217.175,88678.3027371969,3,4,3,3,1.0,1
T60,A1449,A0302,21152.61,2025-05-13T10:56:00,TRANSFER,RTGS,Bangalore,0.9,ABC Corp,8,1453199.91,181649.98875,96247.65884114665,2,3,0,1,1.0,1
T61,A0225,A0286,203687.48,2025-03-21T11:59:00,TRANSFER,CASH,Hyderabad,0.54,LMN Ltd,11,1797915.78,163446.8890909091,76535.44514496293,2,0,3,2,1.0,1
T62,A1193,A0431,196498.88,2025-01-01T12:52:00,DEPOSIT,CASH,Chennai,0.25,LMN Ltd,4,817603.2,204400.8,38870.1238832028,0,0,1,2,1.0,1
T63,A0183,A0175,108692.05,2025-01-16T06:21:00,TRANSFER,NEFT,Delhi,0.55,LMN Ltd,10,1539382.67,153938.267,91141.43476791553,2,2,2,2,1.0,1
T64,A0986,A0834,217894.84,2025-03-27T00:13:00,WITHDRAWAL,RTGS,Mumbai,0.34,XYZ Pvt Ltd,13,2132535.4,164041.1846153846,66159.39974765197,3,3,4,3,1.0,1
T65,A0789,A0608,236051.68,2025-02-06T07:00:00,WITHDRAWAL,NEFT,Hyderabad,0.28,ABC Corp,5,648783.64,129756.728,94337.91793511913,3,2,3,1,1.0,1
T66,A0147,A1049,110937.96,2025-01-23T15:34:00,PAYMENT,UPI,Chennai,0.91,XYZ Pvt Ltd,8,1375322.98,171915.3725,65888.31101747254,1,4,1,3,1.0,1
T67,A0599,A0434,196033.45,2025-02-04T22:53:00,WITHDRAWAL,CASH,Delhi,0.59,-,7,1171852.83,167407.54714285716,67622.83488620559,3,0,2,0,1.0,1
T68,A0254,A1326,212401.97,2025-04-05T00:38:00,DEPOSIT,RTGS,Bangalore,0.09,ABC Corp,11,1725623.58,156874.8709090909,77524.73044660878,0,3,0,1,1.0,1
T69,A0693,A1072,236730.35,2025-03-15T19:09:00,WITHDRAWAL,UPI,Chennai,0.47,-,10,1983981.68,198398.168,107030.49441408522,3,4,1,0,1.0,1
T70,A1206,A0404,2339.4,2025-05-06T02:07:00,PAYMENT,UPI,Hyderabad,0.49,LMN Ltd,5,861355.2,172271.03999999998,114722.44456244318,1,4,3,2,1.0,1
T71,A0174,A0188,294675.48,2025-03-11T23:22:00,DEPOSIT,IMPS,Bangalore,0.84,XYZ Pvt Ltd,5,1249121.0,249824.2,44057.85411735515,0,1,0,3,1.0,1
T72,A0831,A0974,271083.21,2025-04-27T15:08:00,PAYMENT,RTGS,Chennai,0.47,-,5,1003753.59,200750.718,77867.93000221573,1,3,1,0,1.0,1
T73,A0244,A0561,295518.76,2025-04-23T11:14:00,PAYMENT,IMPS,Delhi,0.68,-,7,769967.3,109995.32857142857,101568.58591655189,1,1,2,0,1.0,1
T74,A0146,A0854,66697.87,2025-03-31T01:43:00,WITHDRAWAL,CASH,Hyderabad,0.94,XYZ Pvt Ltd,8,820671.15,102583.89375,89099.10375468718,3,0,3,3,1.0,1
T75,A0932,A1414,272655.46,2025-05-09T22:44:00,DEPOSIT,CASH,Bangalore,0.21,ABC Corp,8,1429255.96,178656.995,91645.88163366161,0,0,0,1,1.0,1
T76,A0936,A1439,99233.27,2025-05-12T07:44:00,TRANSFER,UPI,Delhi,0.09,XYZ Pvt Ltd,7,980664.21,140094.88714285713,90086.71284940335,2,4,2,3,1.0,1
T77,A0777,A0780,153024.23,2025-01-06T05:01:00,PAYMENT,IMPS,Mumbai,0.09,ABC Corp,10,1628752.49,162875.249,71477.95886600917,1,1,4,1,1.0,1
T78,A0254,A0172,125388.65,2025-05-11T23:05:00,TRANSFER,UPI,Hyderabad,0.46,LMN Ltd,11,1725623.58,156874.8709090909,77524.73044660878,2,4,3,2,1.0,1
T79,A1094,A0010,272192.6,2025-01-10T20:39:00,TRANSFER,NEFT,Mumbai,0.48,XYZ Pvt Ltd,5,861856.27,172371.25400000002,121536.42829341529,2,2,4,3,1.0,1
T81,A1390,A1342,193698.8,2025-01-27T17:21:00,TRANSFER,RTGS,Hyderabad,0.3,-,8,1006287.81,125785.97625,83997.43080237377,2,3,3,0,1.0,1
T82,A0364,A0501,256257.64,2025-04-17T09:00:00,DEPOSIT,IMPS,Chennai,0.02,LMN Ltd,9,1327378.18,147486.46444444443,84188.89896741482,0,1,1,2,1.0,1
T83,A0137,A1245,258221.93,2025-02-26T16:25:00,TRANSFER,RTGS,Hyderabad,0.96,XYZ Pvt Ltd,11,1327032.8,120639.34545454546,93245.92676927151,2,3,3,3,1.0,1
T84,A0210,A1292,137061.87,2025-04-22T11:51:00,PAYMENT,RTGS,Bangalore,0.9,XYZ Pvt Ltd,9,1551549.43,172394.3811111111,69816.37005682217,1,3,0,3,1.0,1
T85,A0600,A0667,121379.73,2025-02-10T15:25:00,PAYMENT,IMPS,Bangalore,0.67,LMN Ltd,8,987431.07,123428.88375,64650.05217782138,1,1,0,2,1.0,1
T86,A1341,A1236,272799.29,2025-04-02T02:04:00,WITHDRAWAL,IMPS,Mumbai,0.32,-,3,566912.34,188970.78,72652.69413578755,3,1,4,0,1.0,1
T87,A0579,A0235,62823.99,2025-04-16T16:16:00,PAYMENT,UPI,Bangalore,0.33,-,7,1035123.58,147874.79714285713,78674.58569802633,1,4,0,0,1.0,1
T88,A0569,A1311,282362.31,2025-01-18T12:40:00,WITHDRAWAL,UPI,Bangalore,0.07,ABC Corp,5,1092845.15,218569.02999999997,60761.37905029519,3,4,0,1,1.0,1
T89,A1246,A1048,56732.92,2025-02-20T07:40:00,WITHDRAWAL,UPI,Hyderabad,0.87,XYZ Pvt Ltd,7,1090090.01,155727.14428571428,102078.70548112845,3,4,3,3,1.0,1
T90,A1059,A1033,289695.27,2025-01-16T02:43:00,DEPOSIT,UPI,Chennai,0.34,-,13,2516042.53,193541.73307692306,82251.18787263484,0,4,1,0,1.0,1
T91,A0930,A0406,95381.44,2025-01-19T04:32:00,DEPOSIT,CASH,Bangalore,0.13,ABC Corp,12,2064559.32,172046.61000000002,74187.12864941318,0,0,0,1,1.0,1
T92,A1349,A1124,285022.97,2025-01-22T03:45:00,DEPOSIT,UPI,Bangalore,0.51,LMN Ltd,9,1319434.21,146603.8011111111,92573.3776559482,0,4,0,2,1.0,1
T93,A0558,A0580,97704.19,2025-05-06T17:55:00,TRANSFER,IMPS,Delhi,0.21,LMN Ltd,15,1578235.1199999999,105215.67466666666,73253.78116245719,2,1,2,2,1.0,1
T94,A1441,A1431,19243.86,2025-01-28T07:58:00,WITHDRAWAL,NEFT,Mumbai,0.12,ABC Corp,7,1050085.8599999999,150012.2657142857,96161.9910504774,3,2,4,1,1.0,1
T95,A0911,A0148,53420.79,2025-05-07T05:04:00,TRANSFER,NEFT,Mumbai,0.88,-,6,880704.99,146784.165,75237.45152055346,2,2,4,0,1.0,1
T96,A0599,A0367,287402.5,2025-03-04T01:48:00,WITHDRAWAL,CASH,Hyderabad,0.28,XYZ Pvt Ltd,7,1171852.83,167407.54714285716,67622.83488620559,3,0,3,3,1.0,1
T97,A0689,A0981,250983.87,2025-01-24T17:17:00,DEPOSIT,NEFT,Chennai,0.72,ABC Corp,11,1814586.82,164962.4381818182,80848.93583178517,0,2,1,1,1.0,1
T98,A1146,A0774,52888.18,2025-01-03T08:13:00,TRANSFER,IMPS,Hyderabad,0.15,ABC Corp,7,768956.88,109850.98285714285,85605.11077571046,2,1,3,1,1.0,1
T99,A1204,A1147,15975.31,2025-04-03T22:04:00,PAYMENT,NEFT,Delhi,0.25,LMN Ltd,7,1031916.47,147416.63857142857,110916.74241747537,1,2,2,2,1.0,1
T100,A1481,A0913,88078.02,2025-03-11T04:48:00,TRANSFER,UPI,Chennai,0.63,ABC Corp,12,1583821.67,131985.13916666666,71339.36042898982,2,4,1,1,1.0,1
T101,A1097,A1061,290889.22,2025-05-19T19:44:00,DEPOSIT,IMPS,Chennai,0.64,LMN Ltd,14,1888081.52,134862.9657142857,87070.99208317205,0,1,1,2,1.0,1
T102,A1223,A1022,122756.65,2025-04-20T19:24:00,TRANSFER,NEFT,Delhi,0.08,-,9,1442608.47,160289.83,43895.722561939336,2,2,2,0,1.0,1
T103,A0157,A0664,221208.89,2025-04-07T08:33:00,TRANSFER,IMPS,Delhi,0.51,LMN Ltd,8,1389263.94,173657.9925,106234.8619254711,2,1,2,2,1.0,1
T104,A1082,A1385,293593.7,2025-02-04T08:03:00,DEPOSIT,RTGS,Hyderabad,0.76,ABC Corp,6,809199.38,134866.56333333332,105811.95490248967,0,3,3,1,1.0,1
T105,A0796,A0230,181519.88,2025-04-04T23:34:00,WITHDRAWAL,IMPS,Chennai,0.06,XYZ Pvt Ltd,10,1570485.65,157048.565,91243.88648824305,3,1,1,3,1.0,1
T106,A0330,A0124,2141.87,2025-03-09T06:48:00,TRANSFER,IMPS,Hyderabad,0.13,LMN Ltd,4,615600.31,153900.0775,127125.54773135974,2,1,3,2,1.0,1
T107,A0907,A1407,62639.71,2025-01-07T00:41:00,WITHDRAWAL,RTGS,Delhi,0.61,LMN Ltd,4,701583.94,175395.985,95487.23562409985,3,3,2,2,1.0,1
T108,A1440,A0537,266971.29,2025-02-14T16:15:00,DEPOSIT,UPI,Mumbai,0.09,ABC Corp,16,2613159.19,163322.449375,88518.20097536217,0,4,4,1,1.0,1
T109,A1230,A1017,201367.1,2025-01-05T00:37:00,DEPOSIT,CASH,Chennai,0.32,-,8,1035164.53,129395.56625,108340.27184461847,0,0,1,0,1.0,1
T110,A1358,A1200,48692.48,2025-02-07T04:20:00,PAYMENT,RTGS,Bangalore,0.92,-,10,1847238.18,184723.818,87487.0607885096,1,3,0,0,1.0,1
T111,A0024,A0717,258492.3,2025-04-27T00:33:00,DEPOSIT,UPI,Hyderabad,0.79,LMN Ltd,5,911486.27,182297.25400000002,79427.06747101883,0,4,3,2,1.0,1
T112,A1290,A0801,228908.2,2025-02-20T08:33:00,DEPOSIT,CASH,Mumbai,0.58,XYZ Pvt Ltd,6,716195.23,119365.87166666666,74559.57545016748,0,0,4,3,1.0,1
T113,A0924,A1443,262932.27,2025-03-23T19:47:00,TRANSFER,NEFT,Bangalore,0.66,XYZ Pvt Ltd,11,2180600.63,198236.4209090909,88488.64401817146,2,2,0,3,1.0,1
T114,A1172,A0864,31800.05,2025-01-05T18:05:00,TRANSFER,RTGS,Hyderabad,0.82,XYZ Pvt Ltd,10,1371185.47,137118.547,95582.83938779446,2,3,3,3,1.0,1
T115,A0266,A1149,114076.38,2025-02-06T10:39:00,PAYMENT,CASH,Chennai,0.93,ABC Corp,7,957846.53,136835.2185714286,80570.79778222494,1,0,1,1,1.0,1
T116,A0693,A0983,290987.75,2025-01-06T14:50:00,DEPOSIT,UPI,Mumbai,0.08,ABC Corp,10,1983981.68,198398.168,107030.49441408522,0,4,4,1,1.0,1
T117,A1183,A0350,33928.11,2025-02-24T15:54:00,PAYMENT,RTGS,Bangalore,0.37,XYZ Pvt Ltd,7,599112.53,85587.50428571428,65796.73478700694,1,3,0,3,1.0,1
T118,A0872,A1043,278026.97,2025-02-07T08:03:00,DEPOSIT,IMPS,Hyderabad,0.77,-,7,1142463.56,163209.08000000002,83771.69756160051,0,1,3,0,1.0,1
T119,A0004,A1224,282815.96,2025-01-15T09:39:00,TRANSFER,RTGS,Bangalore,0.79,ABC Corp,8,1283603.21,160450.40125,93636.58813814311,2,3,0,1,1.0,1
T120,A0985,A0495,223764.05,2025-04-25T03:20:00,DEPOSIT,IMPS,Delhi,0.15,LMN Ltd,4,847237.17,211809.2925,48638.97586621686,0,1,2,2,1.0,1
T121,A0175,A1116,144784.17,2025-02-24T10:50:00,DEPOSIT,IMPS,Mumbai,0.91,LMN Ltd,9,1439207.8699999999,159911.98555555556,56897.020758363105,0,1,4,2,1.0,1
T122,A1314,A1292,251046.74,2025-02-27T12:31:00,TRANSFER,NEFT,Hyderabad,0.03,XYZ Pvt Ltd,6,916321.48,152720.24666666667,109975.71540697113,2,2,3,3,1.0,1
T123,A0325,A0533,89687.31,2025-03-19T00:35:00,DEPOSIT,IMPS,Mumbai,0.79,XYZ Pvt Ltd,8,1321772.49,165221.56125,93149.17532818671,0,1,4,3,1.0,1
T125,A0649,A1472,152960.06,2025-04-20T07:54:00,TRANSFER,CASH,Hyderabad,0.34,-,7,860091.1,122870.15714285713,58297.6005394335,2,0,3,0,1.0,1
T126,A0939,A0061,256291.83,2025-04-03T21:52:00,PAYMENT,CASH,Bangalore,0.99,LMN Ltd,8,1631009.09,203876.13625,72546.34467403223,1,0,0,2,1.0,1
T127,A0060,A0034,271011.47,2025-02-11T14:10:00,DEPOSIT,RTGS,Hyderabad,0.42,XYZ Pvt Ltd,6,673805.7,112300.95,100154.50869896612,0,3,3,3,1.0,1
T128,A0487,A0297,28821.34,2025-05-11T04:00:00,TRANSFER,NEFT,Chennai,0.64,XYZ Pvt Ltd,10,1348893.0,134889.3,98057.84912201855,2,2,1,3,1.0,1
T129,A1213,A1029,72786.88,2025-04-23T03:20:00,DEPOSIT,CASH,Chennai,0.83,ABC Corp,7,1323543.35,189077.62142857144,107019.41295110006,0,0,1,1,1.0,1
T130,A0157,A1269,138766.17,2025-03-17T21:18:00,TRANSFER,NEFT,Mumbai,0.85,XYZ Pvt Ltd,8,1389263.94,173657.9925,106234.8619254711,2,2,4,3,1.0,1
T131,A1196,A0895,125610.95,2025-02-23T15:05:00,PAYMENT,RTGS,Bangalore,0.88,LMN Ltd,7,887843.85,126834.83571428571,65599.91122463197,1,3,0,2,1.0,1
T132,A0500,A0428,273135.05,2025-01-28T03:38:00,TRANSFER,IMPS,Mumbai,0.86,-,11,1319937.64,119994.3309090909,92102.75963963961,2,1,4,0,1.0,1
T133,A0798,A0640,85196.2,2025-04-11T10:10:00,TRANSFER,NEFT,Delhi,0.54,LMN Ltd,10,1653910.11,165391.011,86480.73977254427,2,2,2,2,1.0,1
T134,A0838,A1319,90162.34,2025-02-14T15:09:00,TRANSFER,NEFT,Chennai,0.51,ABC Corp,5,610090.14,122018.028,41163.29479143852,2,2,1,1,1.0,1
T135,A1273,A0928,108649.65,2025-01-10T02:56:00,TRANSFER,UPI,Bangalore,0.37,XYZ Pvt Ltd,8,888127.26,111015.9075,81546.29214141809,2,4,0,3,1.0,1
T136,A0114,A1079,128428.16,2025-05-18T22:37:00,DEPOSIT,UPI,Chennai,0.3,XYZ Pvt Ltd,12,1258398.59,104866.54916666668,61808.671415139484,0,4,1,3,1.0,1
T137,A0864,A0377,131413.05,2025-04-21T11:21:00,DEPOSIT,CASH,Delhi,0.67,ABC Corp,8,1187160.52,148395.065,95811.69933927649,0,0,2,1,1.0,1
T138,A0059,A1231,14880.38,2025-04-24T22:34:00,TRANSFER,RTGS,Bangalore,0.43,LMN Ltd,12,1413892.01,117824.33416666667,100536.8038051324,2,3,0,2,1.0,1
T139,A0500,A0487,194263.75,2025-03-11T08:45:00,PAYMENT,IMPS,Mumbai,0.25,ABC Corp,11,1319937.64,119994.3309090909,92102.75963963961,1,1,4,1,1.0,1
T140,A0195,A0258,283569.03,2025-03-11T08:30:00,TRANSFER,UPI,Chennai,0.35,XYZ Pvt Ltd,11,1926081.94,175098.35818181818,104670.07928483534,2,4,1,3,1.0,1
T141,A1197,A1252,44789.91,2025-03-17T16:42:00,WITHDRAWAL,RTGS,Mumbai,0.1,LMN Ltd,7,796565.73,113795.10428571429,72881.11561663073,3,3,4,2,1.0,1
T142,A0966,A0616,248738.77,2025-02-08T07:04:00,WITHDRAWAL,NEFT,Chennai,0.78,ABC Corp,7,1405431.62,200775.94571428574,105994.0694506977,3,2,1,1,1.0,1
T143,A0128,A0624,13156.09,2025-02-06T08:18:00,TRANSFER,IMPS,Bangalore,0.05,LMN Ltd,8,654770.32,81846.29,89184.54439839994,2,1,0,2,1.0,1
T144,A0252,A0683,274252.56,2025-03-17T01:38:00,TRANSFER,CASH,Delhi,0.63,-,9,1302344.8900000001,144704.9877777778,102190.20764475573,2,0,2,0,1.0,1
T146,A1043,A0595,273513.67,2025-03-29T14:48:00,DEPOSIT,RTGS,Mumbai,0.56,ABC Corp,9,1814876.38,201652.9311111111,98337.16860583457,0,3,4,1,1.0,1
T147,A0186,A1043,76730.02,2025-04-12T08:04:00,WITHDRAWAL,CASH,Mumbai,0.45,-,12,1534383.68,127865.30666666666,93484.04717137391,3,0,4,0,1.0,1
T148,A0290,A0131,100717.51,2025-05-10T03:28:00,WITHDRAWAL,RTGS,Delhi,0.87,LMN Ltd,9,1391858.21,154650.91222222222,99777.56177371103,3,3,2,2,1.0,1
